detector,sample_index,chunk_index,drift_type,error_rate
DDM,204,1,warning,0.01
DDM,205,1,warning,0.01
DDM,206,1,warning,0.01
DDM,207,1,warning,0.01
DDM,208,1,warning,0.01
DDM,209,1,warning,0.01
DDM,210,1,warning,0.01
DDM,211,1,warning,0.01
DDM,212,1,warning,0.01
DDM,213,1,warning,0.01
DDM,214,1,warning,0.01
DDM,215,1,warning,0.01
DDM,216,1,warning,0.01
DDM,217,1,warning,0.01
DDM,218,1,warning,0.01
DDM,219,1,warning,0.01
DDM,220,1,warning,0.01
DDM,221,1,warning,0.01
DDM,222,1,warning,0.01
DDM,223,1,warning,0.01
DDM,224,1,warning,0.01
DDM,225,1,warning,0.01
DDM,226,1,warning,0.01
DDM,227,1,warning,0.01
DDM,228,1,warning,0.01
DDM,229,1,warning,0.01
DDM,230,1,warning,0.01
DDM,231,1,warning,0.01
DDM,449,2,warning,0.02
DDM,450,2,warning,0.02
DDM,451,2,warning,0.02
DDM,452,2,warning,0.02
DDM,453,2,warning,0.02
DDM,454,2,warning,0.02
DDM,455,2,warning,0.02
DDM,456,2,warning,0.02
DDM,457,2,warning,0.02
DDM,458,2,warning,0.02
DDM,459,2,warning,0.02
DDM,460,2,warning,0.02
DDM,461,2,warning,0.02
DDM,462,2,warning,0.02
DDM,463,2,warning,0.02
DDM,464,2,warning,0.02
DDM,465,2,warning,0.02
DDM,466,2,warning,0.02
DDM,467,2,warning,0.02
DDM,468,2,warning,0.02
DDM,469,2,warning,0.02
DDM,470,2,warning,0.02
DDM,471,2,warning,0.02
DDM,472,2,warning,0.02
DDM,473,2,warning,0.02
DDM,474,2,warning,0.02
DDM,475,2,warning,0.02
DDM,476,2,warning,0.02
DDM,477,2,warning,0.02
DDM,478,2,warning,0.02
DDM,479,2,warning,0.02
DDM,480,2,warning,0.02
DDM,481,2,warning,0.02
DDM,482,2,warning,0.02
DDM,483,2,warning,0.02
DDM,484,2,warning,0.02
DDM,485,2,warning,0.02
DDM,486,2,warning,0.02
DDM,487,2,warning,0.02
DDM,488,2,warning,0.02
DDM,489,2,warning,0.02
DDM,490,2,warning,0.02
DDM,491,2,warning,0.02
DDM,492,2,warning,0.02
DDM,493,2,warning,0.02
DDM,494,2,warning,0.02
DDM,495,2,warning,0.02
DDM,496,2,warning,0.02
DDM,497,2,warning,0.02
DDM,498,2,warning,0.02
DDM,499,2,warning,0.02
DDM,500,2,warning,0.02
DDM,501,2,warning,0.02
DDM,502,2,warning,0.02
DDM,503,2,warning,0.02
DDM,504,2,warning,0.02
DDM,505,2,warning,0.02
DDM,506,2,warning,0.02
DDM,507,2,warning,0.02
DDM,508,2,warning,0.02
DDM,509,2,warning,0.02
DDM,510,2,warning,0.02
DDM,511,2,warning,0.02
DDM,512,2,warning,0.02
DDM,513,2,warning,0.02
DDM,514,2,warning,0.02
DDM,515,2,warning,0.02
DDM,516,2,warning,0.02
DDM,517,2,warning,0.02
DDM,518,2,warning,0.02
DDM,519,2,warning,0.02
DDM,520,2,warning,0.02
DDM,521,2,warning,0.02
DDM,522,2,warning,0.01
DDM,523,2,warning,0.01
DDM,583,2,warning,0.01
DDM,584,2,warning,0.01
DDM,585,2,warning,0.01
DDM,586,2,warning,0.01
DDM,587,2,warning,0.01
DDM,588,2,warning,0.01
DDM,589,2,warning,0.01
DDM,590,2,warning,0.01
DDM,591,2,warning,0.01
DDM,592,2,warning,0.01
DDM,593,2,warning,0.01
DDM,594,2,warning,0.01
DDM,595,2,warning,0.01
DDM,596,2,warning,0.01
DDM,597,2,warning,0.01
DDM,598,2,warning,0.01
DDM,599,2,warning,0.02
DDM,600,2,warning,0.02
DDM,601,2,warning,0.02
DDM,602,2,warning,0.02
DDM,603,2,warning,0.02
DDM,604,2,warning,0.02
DDM,605,2,warning,0.02
DDM,606,2,warning,0.02
DDM,607,2,warning,0.02
DDM,608,2,warning,0.02
DDM,609,2,warning,0.02
DDM,610,2,warning,0.02
DDM,611,2,warning,0.02
DDM,612,2,warning,0.02
DDM,613,2,warning,0.02
DDM,614,2,warning,0.02
DDM,615,2,warning,0.02
DDM,616,2,warning,0.02
DDM,617,2,warning,0.02
DDM,618,2,warning,0.02
DDM,619,2,warning,0.02
DDM,620,2,warning,0.02
DDM,621,2,warning,0.02
DDM,622,2,warning,0.02
DDM,623,2,warning,0.02
DDM,624,2,warning,0.02
DDM,625,2,warning,0.02
DDM,626,2,warning,0.02
DDM,627,2,warning,0.02
DDM,628,2,warning,0.02
DDM,629,2,warning,0.02
DDM,630,2,warning,0.02
DDM,631,2,warning,0.02
DDM,632,2,warning,0.02
DDM,633,2,warning,0.02
DDM,634,2,warning,0.02
DDM,635,2,warning,0.02
DDM,636,2,warning,0.02
DDM,637,2,warning,0.02
DDM,638,2,warning,0.02
DDM,639,2,warning,0.02
DDM,640,2,warning,0.02
DDM,641,2,warning,0.02
DDM,642,2,warning,0.02
DDM,643,2,warning,0.02
DDM,644,2,warning,0.02
DDM,645,2,warning,0.02
DDM,646,2,warning,0.02
DDM,647,2,warning,0.02
DDM,648,2,warning,0.02
DDM,649,2,warning,0.02
DDM,650,2,warning,0.02
DDM,651,2,warning,0.02
DDM,652,2,warning,0.02
DDM,653,2,warning,0.02
DDM,654,2,warning,0.02
DDM,655,2,warning,0.02
DDM,656,2,warning,0.02
DDM,657,2,warning,0.02
DDM,658,2,warning,0.02
DDM,659,2,warning,0.02
DDM,660,2,warning,0.02
DDM,661,2,warning,0.02
DDM,662,2,warning,0.02
DDM,663,2,warning,0.02
DDM,664,2,warning,0.02
DDM,665,2,warning,0.02
